"%1 filter options","%1 filter options"
"%1 filter, 1 available product","%1 filter, 1 available product"
"%1 filter, %2 available products","%1 filter, %2 available products"
"Active filtering","Active filtering"
"Remove active %1 filter: %2","Remove active %1 filter: %2"
"Clear All","Clear All"
"Product filters","Product filters"
"Shop By","Shop By"
"Skip to product list","Skip to product list"
filter,filter
"Could not add item to wishlist.","Could not add item to wishlist."
"%1 has been added to your Wish List.","%1 has been added to your Wish List."
"Shopping Options","Shopping Options"
"Ajax Layered Navigation","Ajax Layered Navigation"
"General Configuration","General Configuration"
Enable,Enable
